id_student,code_module,code_presentation,total_clicks,active_days,num_unique_sites
33915,FFF,2013B,4121,128,222
33930,DDD,2013J,544,72,59
34068,CCC,2014J,613,55,32
34087,DDD,2013J,294,36,50
34087,DDD,2014J,131,19,25
34229,BBB,2013B,706,50,60
34293,FFF,2014B,921,36,49
34353,BBB,2013B,391,32,25
34431,BBB,2013B,192,13,11
34653,DDD,2013J,213,20,47
34662,BBB,2014J,218,26,31
34731,FFF,2013J,681,33,55
34756,BBB,2013B,129,11,20
34863,BBB,2013B,198,19,24
35001,GGG,2013J,77,14,14
35340,EEE,2014B,1812,99,49
35355,CCC,2014J,1116,64,39
35355,EEE,2013J,2242,126,56
35502,DDD,2014B,545,32,73
35508,CCC,2014J,1142,69,94
35508,EEE,2014B,2270,106,52
35544,FFF,2013B,2107,101,169
35747,FFF,2014J,653,21,58
35796,FFF,2014J,602,31,51
35812,BBB,2013B,19,3,5
35860,FFF,2013B,2215,67,166
36347,FFF,2014B,2161,106,104
36385,FFF,2013B,1355,51,55
37298,FFF,2013B,2097,87,126
37622,BBB,2013J,470,39,37
37652,CCC,2014J,885,54,52
38053,AAA,2013J,2445,143,88
38234,BBB,2013J,94,9,14
38711,BBB,2014J,169,14,29
39208,BBB,2014J,2067,160,105
39411,DDD,2013J,164,15,15
39427,DDD,2013J,93,14,24
39655,BBB,2013B,432,34,33
39660,DDD,2014B,630,74,73
39882,FFF,2014B,1761,44,96
40184,DDD,2013J,1876,149,137
40333,CCC,2014B,174,15,27
40419,DDD,2013B,144,9,27
40419,DDD,2013J,560,33,80
40508,EEE,2013J,91,5,11
40563,DDD,2013J,584,60,80
40604,CCC,2014B,465,53,55
40857,FFF,2014J,304,19,51
40878,FFF,2014J,2455,88,143
41060,DDD,2013B,411,34,71
41414,GGG,2014B,965,66,50
41489,FFF,2014B,53,6,14
41547,BBB,2014J,1007,61,76
42552,FFF,2014J,5079,138,182
42616,FFF,2013J,4093,163,163
42638,CCC,2014B,5659,193,142
42638,EEE,2013J,6186,202,81
42668,FFF,2013B,2839,108,150
42746,CCC,2014J,2403,142,104
42746,FFF,2014B,8270,186,302
42818,DDD,2013J,200,20,21
43273,FFF,2013B,1862,66,112
43284,DDD,2013B,847,96,107
43430,FFF,2013B,5693,158,209
43564,EEE,2013J,2334,112,67
43958,FFF,2013J,2220,74,91
43958,FFF,2014J,1098,69,63
45423,FFF,2014J,4383,80,148
45462,AAA,2013J,1492,90,59
45642,AAA,2013J,1428,105,66
45664,CCC,2014B,397,29,46
45664,DDD,2013B,1048,66,152
46016,DDD,2014J,389,38,56
46048,EEE,2014J,12,1,3
46148,FFF,2014B,3724,123,162
46605,CCC,2014B,3427,208,107
46705,CCC,2014J,1149,73,97
46753,DDD,2014B,1779,86,145
46812,DDD,2014J,141,15,11
46844,AAA,2014J,340,46,40
47061,EEE,2014J,347,20,37
47063,DDD,2013J,137,29,35
47855,BBB,2013J,12,6,3
47861,FFF,2014J,8757,201,163
47891,BBB,2014J,118,14,23
47924,FFF,2013J,34,2,6
48040,BBB,2013J,1829,158,127
48152,DDD,2013J,528,40,74
48503,BBB,2013J,434,39,32
48635,CCC,2014J,592,21,30
48635,FFF,2014B,4406,157,192
49119,CCC,2014B,2014,104,102
49119,DDD,2014B,254,28,56
49123,GGG,2014B,1362,62,44
49670,FFF,2013J,33,1,5
50069,BBB,2014B,531,28,57
50263,CCC,2014B,425,31,26
50263,FFF,2013B,5863,161,131
50476,DDD,2014B,568,33,77
50487,FFF,2013J,5021,131,147
50610,DDD,2013J,13,4,8
50993,BBB,2013B,176,23,16
51030,DDD,2014B,804,61,114
51033,DDD,2014J,913,58,119
51153,DDD,2014J,1179,101,110
51163,DDD,2013J,1167,79,160
51301,BBB,2013J,670,48,33
51485,FFF,2013J,2750,87,195
51576,CCC,2014B,371,22,24
51576,CCC,2014J,428,18,19
51576,FFF,2013J,5302,78,195
51955,DDD,2014J,405,69,46
52014,DDD,2013B,349,46,46
52130,AAA,2013J,1894,122,76
52275,FFF,2014J,91,5,17
52426,BBB,2014B,68,5,15
52702,GGG,2014J,323,15,29
52765,AAA,2014J,4938,190,94
52797,BBB,2013J,1117,61,51
52899,BBB,2013B,928,24,33
52899,BBB,2013J,1540,120,117
53025,AAA,2013J,3158,142,80
53136,FFF,2014B,3493,111,104
53166,FFF,2013J,2861,64,109
53197,FFF,2013B,60,5,10
53236,BBB,2014J,43,5,7
53300,CCC,2014J,1957,124,58
53360,BBB,2013J,22,3,7
53488,DDD,2013B,1426,105,129
53626,FFF,2013J,39,4,6
53632,DDD,2014B,510,34,104
53632,DDD,2014J,73,7,22
53709,FFF,2013B,1735,52,77
53709,FFF,2014B,1175,34,46
53895,DDD,2013B,65,5,11
54062,CCC,2014J,147,13,11
54062,EEE,2013J,1477,77,65
54388,BBB,2013J,42,1,5
54391,CCC,2014B,179,8,18
54810,DDD,2014B,260,24,38
54810,DDD,2014J,441,49,78
54867,FFF,2014B,604,18,52
54882,FFF,2013J,498,44,52
55013,FFF,2013J,604,35,57
55026,BBB,2013J,283,39,34
55104,AAA,2014J,1480,75,59
55242,DDD,2013B,13,4,6
55419,FFF,2013J,275,11,39
55450,FFF,2013B,1195,37,109
55968,BBB,2014B,578,47,24
56340,BBB,2013J,4,1,2
56637,FFF,2014J,5440,178,173
56667,FFF,2014J,853,23,58
56789,BBB,2013J,379,33,43
57079,BBB,2013J,776,66,73
57227,DDD,2013J,1425,133,80
57285,BBB,2014J,283,9,39
57340,CCC,2014B,1090,54,68
57359,DDD,2013B,217,10,57
57506,AAA,2013J,1319,90,76
57818,DDD,2013J,3037,150,197
57844,FFF,2013J,1972,64,115
58071,AAA,2014J,3648,149,107
58077,FFF,2013J,37,5,16
58089,BBB,2013B,102,6,19
58316,AAA,2014J,1295,102,50
58549,FFF,2013B,2481,86,156
58617,DDD,2014B,834,45,65
58640,FFF,2013J,1784,113,130
58653,BBB,2014J,383,40,49
58731,DDD,2014J,177,18,56
58873,AAA,2013J,1732,120,74
58884,FFF,2014J,5248,177,214
59185,AAA,2013J,1102,61,52
59272,BBB,2014J,1425,76,84
59275,DDD,2013J,522,28,45
59370,DDD,2013J,2057,141,155
59541,CCC,2014B,441,10,29
59725,BBB,2014B,859,71,59
60135,DDD,2013B,2750,115,160
60162,GGG,2014J,764,34,46
60405,GGG,2013J,852,54,47
60416,BBB,2014B,4983,215,52
60519,FFF,2013B,3198,80,113
60809,CCC,2014J,2519,101,111
60809,EEE,2014J,2422,152,81
60830,BBB,2014B,1365,81,51
61227,CCC,2014J,4642,128,98
61236,CCC,2014J,506,57,26
61297,FFF,2014J,94,7,21
61352,BBB,2014J,181,15,29
61911,DDD,2014B,448,46,45
62034,EEE,2014J,1889,106,59
62155,AAA,2013J,3388,148,98
62278,CCC,2014B,1037,79,76
62487,AAA,2014J,683,54,49
62631,BBB,2013B,525,33,22
62975,GGG,2013J,274,17,25
63015,DDD,2014J,694,66,101
63044,BBB,2013J,231,16,35
63112,EEE,2013J,3018,99,60
63112,FFF,2014J,501,22,59
63165,AAA,2014J,912,87,46
63295,FFF,2013J,1210,44,48
63371,CCC,2014J,3344,145,119
63400,AAA,2013J,2737,175,73
63467,BBB,2014J,712,29,52
63566,DDD,2013J,1232,71,140
63721,BBB,2014B,771,67,69
63827,DDD,2014J,108,22,37
63856,DDD,2013J,965,102,97
63949,GGG,2014J,432,30,28
63958,FFF,2014B,110,9,24
64275,BBB,2014B,199,22,18
64296,CCC,2014B,633,24,53
64296,EEE,2014B,606,22,32
64388,FFF,2013J,4596,156,190
64427,FFF,2014J,5640,188,205
64450,DDD,2014B,3327,153,114
64767,DDD,2014B,206,28,26
64901,GGG,2014B,827,49,52
65002,AAA,2013J,171,11,25
65002,AAA,2014J,5,2,1
65656,FFF,2013B,1776,107,72
66047,DDD,2013J,52,8,14
66254,CCC,2014B,2149,80,91
66451,FFF,2013J,1161,33,101
66577,DDD,2013J,143,17,37
66579,DDD,2013B,681,38,109
66713,EEE,2013J,1850,87,47
66892,FFF,2014J,329,17,33
67182,GGG,2013J,354,32,36
67471,DDD,2013J,1113,52,137
67505,DDD,2013J,1246,72,128
67539,EEE,2014J,1438,92,42
67602,DDD,2013B,797,72,124
67685,CCC,2014J,10,5,4
67685,EEE,2014J,2304,170,79
67781,DDD,2014B,1771,130,181
67785,DDD,2013B,1351,74,144
67986,FFF,2014B,660,32,53
68011,DDD,2013J,360,31,37
68107,FFF,2013J,4255,116,196
68208,FFF,2013B,7467,157,260
68376,DDD,2013J,1085,81,159
68417,DDD,2014J,1270,93,81
68556,BBB,2013J,98,15,16
69346,FFF,2013J,1458,32,78
69439,FFF,2014J,293,13,40
69489,DDD,2013J,106,11,16
69489,DDD,2014B,109,13,18
69491,DDD,2013B,373,49,76
69494,CCC,2014B,601,34,35
69494,CCC,2014J,1448,78,50
69703,CCC,2014B,695,71,56
70011,AAA,2014J,6396,227,94
70214,CCC,2014J,369,18,27
70214,EEE,2013J,3140,136,67
70381,CCC,2014B,755,68,47
70464,AAA,2013J,1053,46,63
70495,CCC,2014J,1979,113,70
70495,FFF,2013J,5273,157,206
70537,EEE,2014B,2434,119,65
70569,BBB,2014J,947,56,75
70608,BBB,2013B,270,27,42
70750,BBB,2014J,103,8,18
70771,CCC,2014B,181,6,20
70827,EEE,2014J,269,18,18
71159,FFF,2014J,5236,117,180
71209,DDD,2013J,483,68,49
71252,FFF,2013J,1194,37,92
71361,AAA,2013J,2327,135,81
71433,BBB,2013B,60,8,14
71504,BBB,2014J,1049,59,88
71578,FFF,2013B,1572,57,70
71676,DDD,2014J,1077,92,122
71723,CCC,2014J,486,36,25
71723,DDD,2014B,251,28,38
71897,FFF,2013J,261,17,32
72114,FFF,2014B,4300,137,208
72349,BBB,2014J,134,10,25
72400,BBB,2014B,420,36,76
72609,CCC,2014J,6378,208,108
72693,FFF,2013B,2269,92,133
72864,FFF,2013J,1423,42,95
73019,DDD,2014J,540,37,31
73489,BBB,2013J,1845,144,50
73584,BBB,2014J,243,12,35
73664,CCC,2014J,38,12,7
73664,DDD,2014J,103,18,20
73874,BBB,2014J,931,34,72
74113,FFF,2013B,583,23,56
74165,FFF,2014J,1897,62,100
74290,CCC,2014B,224,17,28
74290,CCC,2014J,47,13,11
74372,AAA,2013J,116,14,23
74502,DDD,2013J,3630,207,172
74521,FFF,2014B,1297,46,81
74524,FFF,2014B,96,7,26
74585,BBB,2013J,7811,171,55
74695,BBB,2013B,3679,122,101
74734,BBB,2013B,208,34,28
75091,AAA,2013J,2992,122,100
75107,FFF,2014J,5914,175,270
75255,AAA,2014J,950,79,50
75309,DDD,2014B,1,1,1
75399,BBB,2013B,489,49,54
75427,DDD,2014J,1073,112,99
75454,CCC,2014B,4465,129,87
75728,CCC,2014B,1868,70,51
76081,DDD,2014B,1048,72,96
76081,DDD,2014J,680,93,69
76536,DDD,2013B,18,7,4
76579,EEE,2013J,771,57,40
76579,EEE,2014J,1458,72,61
76949,CCC,2014J,1482,94,109
77241,DDD,2013J,224,24,26
77367,AAA,2013J,680,86,44
77692,FFF,2014J,2568,30,114
77744,FFF,2013J,2273,84,91
77746,FFF,2013J,110,8,8
77763,DDD,2013B,1354,101,149
77845,FFF,2014B,472,19,48
77995,FFF,2014J,897,30,52
77998,FFF,2013B,511,45,61
77998,FFF,2014B,794,31,58
78170,DDD,2013J,2669,109,172
78255,BBB,2013J,191,24,25
78255,BBB,2014B,130,20,26
78645,BBB,2013B,426,40,28
79261,FFF,2013J,2073,59,130
79403,AAA,2014J,1782,76,61
79461,CCC,2014B,810,46,40
79610,FFF,2014J,2482,92,78
79683,FFF,2014B,431,23,47
80329,CCC,2014B,172,21,19
80329,CCC,2014J,3347,99,97
80329,DDD,2013J,453,51,82
80329,DDD,2014J,636,78,97
80358,EEE,2014J,1502,94,54
80438,FFF,2014J,5083,107,117
80448,GGG,2013J,350,25,31
80491,CCC,2014J,330,43,19
80717,BBB,2013J,3699,197,90
80745,FFF,2013B,1015,44,99
80775,DDD,2014J,698,78,107
80868,CCC,2014J,24139,278,142
80868,DDD,2013J,4476,200,131
80886,FFF,2013B,589,26,39
81216,FFF,2014B,13,1,6
81351,DDD,2013B,817,96,124
81536,FFF,2013J,474,29,46
81754,GGG,2014B,310,34,26
82088,DDD,2013J,1100,84,85
82201,FFF,2014B,589,24,44
82201,FFF,2014J,2,1,1
82341,GGG,2013J,508,29,37
82535,BBB,2013B,352,45,40
82556,FFF,2013B,1538,20,75
82575,CCC,2014B,658,43,72
82741,BBB,2013B,879,43,87
82817,FFF,2013B,1370,47,87
83219,CCC,2014B,1055,71,64
83219,EEE,2014B,2340,108,56
83254,BBB,2013B,954,70,120
83453,CCC,2014B,382,13,59
83553,DDD,2014J,393,29,41
83603,FFF,2014B,2935,120,142
84051,FFF,2013B,210,28,28
84245,BBB,2013B,657,74,90
84299,CCC,2014B,759,62,47
84299,FFF,2014B,1227,77,78
84541,BBB,2014J,179,11,27
84576,DDD,2014B,2126,114,101
84604,FFF,2014J,7698,156,269
84605,DDD,2013J,806,52,76
84605,DDD,2014B,388,26,48
84664,BBB,2013B,495,35,36
84812,BBB,2013J,474,48,36
85092,AAA,2014J,665,32,48
85144,AAA,2014J,656,75,48
85241,FFF,2014J,204,16,22
85302,AAA,2014J,2280,127,80
85304,DDD,2014B,23,1,6
85325,DDD,2013J,81,6,29
85874,FFF,2014B,1853,37,86
86047,CCC,2014B,175,11,18
86047,DDD,2013B,890,44,110
86291,BBB,2013B,69,3,4
86291,BBB,2013J,128,9,12
86538,FFF,2013B,1569,51,75
86669,FFF,2013J,2284,88,103
87107,DDD,2013B,861,77,110
87152,FFF,2013B,2253,109,98
87264,FFF,2014J,8480,175,225
87322,FFF,2014J,1791,68,113
87431,AAA,2014J,802,29,49
87732,BBB,2013B,1018,83,70
87929,GGG,2013J,568,34,43
88340,BBB,2014B,187,23,15
88439,DDD,2014J,809,74,127
88490,DDD,2014B,953,77,150
88568,EEE,2013J,3582,138,79
88758,CCC,2014J,51,4,39
88781,FFF,2013J,888,52,79
88910,DDD,2014B,576,60,74
89051,DDD,2013B,1163,112,135
89092,BBB,2014B,183,23,36
89188,DDD,2013J,1760,103,164
89545,EEE,2014J,595,32,55
89727,DDD,2013J,406,42,62
89778,BBB,2014B,141,12,27
89850,BBB,2014J,1227,62,91
89895,FFF,2013B,5614,198,218
89904,DDD,2014B,609,91,88
90243,BBB,2013J,1084,57,40
90361,BBB,2014B,183,19,23
90537,DDD,2014B,810,58,205
90651,FFF,2014J,195,12,39
90836,DDD,2013B,205,31,45
90901,FFF,2013J,2315,91,127
90979,DDD,2013J,168,31,24
91040,CCC,2014J,446,32,18
91164,FFF,2013B,21,2,7
91265,AAA,2013J,1494,125,60
91322,BBB,2013B,1616,64,38
91354,DDD,2013J,103,13,29
91470,DDD,2014J,1521,126,140
91629,FFF,2013J,1657,35,76
91801,FFF,2014J,1354,47,74
92103,GGG,2014J,114,13,16
92274,BBB,2013B,447,26,39
92312,DDD,2013J,39,6,11
92341,BBB,2014B,957,54,40
92391,DDD,2013J,229,23,33
92775,DDD,2013B,10981,221,246
92832,BBB,2013B,1067,100,51
92947,BBB,2013B,1350,129,51
92993,BBB,2013B,974,49,31
94484,CCC,2014B,2275,78,52
94616,BBB,2013B,199,29,23
94749,FFF,2014J,1845,95,81
94923,DDD,2013B,444,33,68
94961,AAA,2013J,339,24,26
94961,AAA,2014J,901,78,43
94964,DDD,2013B,199,13,33
94978,CCC,2014J,1234,46,77
95356,DDD,2013B,205,29,49
95356,DDD,2014B,76,22,21
95746,FFF,2013J,936,27,58
95755,AAA,2014J,381,43,24
95906,CCC,2014B,1721,73,80
96117,GGG,2013J,539,31,37
96291,BBB,2013B,103,4,18
96423,GGG,2014B,589,43,43
96475,BBB,2013J,207,27,22
96538,CCC,2014B,182,12,25
96592,DDD,2013B,776,46,115
96729,FFF,2013B,2707,106,127
96864,CCC,2014J,96,10,23
96873,EEE,2013J,402,22,36
96874,CCC,2014J,164,17,25
96874,DDD,2014J,119,22,17
96945,DDD,2013B,9,2,3
97006,BBB,2014B,189,17,23
97154,BBB,2013B,984,37,88
97486,CCC,2014B,7,3,3
97486,EEE,2014B,6,1,2
97567,BBB,2013J,471,30,33
97865,BBB,2014B,91,13,10
97939,DDD,2014B,98,11,22
98094,AAA,2013J,2839,91,91
98256,FFF,2014J,355,21,38
98268,BBB,2013J,770,62,31
98313,BBB,2013B,145,10,23
98452,BBB,2014J,35,5,9
98720,BBB,2013J,439,34,30
98842,BBB,2014J,368,14,33
99075,DDD,2014J,1369,96,113
99088,BBB,2014J,359,17,45
99151,DDD,2014B,397,11,31
99609,DDD,2014J,139,11,21
99670,FFF,2014B,2109,70,107
99799,BBB,2014B,553,52,44
99993,FFF,2013B,3922,146,167
100064,FFF,2013J,6514,195,242
100282,BBB,2013J,42,5,9
100561,DDD,2014J,950,112,95
100621,CCC,2014B,59,7,14
100788,CCC,2014J,1261,98,78
100788,FFF,2013J,3134,142,168
100893,AAA,2013J,744,52,47
101116,AAA,2014J,1769,126,64
101217,FFF,2013J,332,24,64
101217,FFF,2014J,385,36,57
101279,DDD,2014J,112,8,27
101306,FFF,2013B,866,36,101
101420,FFF,2013J,5766,136,232
101634,FFF,2014B,380,15,48
101781,AAA,2013J,4104,144,99
102028,FFF,2013J,4382,182,256
102067,BBB,2014J,67,9,12
102209,CCC,2014J,535,27,32
102221,DDD,2014J,1025,57,82
102343,FFF,2013J,3825,146,140
102806,AAA,2013J,1944,177,75
102849,BBB,2013B,1,1,1
102850,DDD,2013J,1749,89,141
102854,FFF,2014J,4400,205,202
102952,AAA,2013J,1150,58,69
103496,BBB,2014J,1221,59,95
103535,BBB,2014B,381,30,46
103800,DDD,2013J,170,32,42
103891,DDD,2014J,83,6,12
103904,DDD,2013B,1579,97,156
103998,BBB,2014J,49,2,5
104054,BBB,2013B,1451,95,51
104213,FFF,2013J,2245,98,146
104316,FFF,2014B,928,53,121
104476,AAA,2013J,4777,161,106
104480,CCC,2014J,203,18,17
104643,DDD,2013J,1496,104,110
104772,DDD,2013J,816,51,90
104772,DDD,2014J,341,32,28
105125,FFF,2014J,558,31,42
105168,CCC,2014J,540,35,56
105168,EEE,2013J,567,25,30
105413,CCC,2014J,963,68,92
105523,CCC,2014B,1201,104,50
105523,DDD,2013J,753,103,112
105527,BBB,2013J,993,86,43
105629,FFF,2013J,5925,183,224
105851,BBB,2013J,385,39,33
105883,BBB,2013J,4022,168,66
105939,FFF,2014J,2900,99,145
106095,BBB,2014J,1243,45,104
106247,AAA,2013J,465,33,43
106553,DDD,2014J,548,64,76
106577,AAA,2013J,733,47,50
106588,BBB,2013J,981,76,59
106690,FFF,2013J,188,3,35
106793,BBB,2014J,404,27,48
107028,CCC,2014B,85,9,13
107028,FFF,2013J,581,38,66
107084,FFF,2013J,1493,70,90
107162,FFF,2013B,4243,112,198
107339,CCC,2014B,2383,118,79
107339,EEE,2013J,2221,129,50
107455,FFF,2014J,1040,60,78
107489,AAA,2014J,3722,184,84
107713,BBB,2014B,111,15,15
107883,CCC,2014J,626,29,47
108118,BBB,2013J,396,23,41
108207,FFF,2014B,3260,129,158
108281,EEE,2014J,3797,153,63
108330,FFF,2013B,3209,118,112
108377,BBB,2013B,2399,150,34
108497,EEE,2014J,2208,133,63
108565,DDD,2013B,203,9,30
108589,BBB,2013B,411,39,41
108760,BBB,2013J,846,51,21
108789,DDD,2013J,102,10,17
108799,BBB,2014B,472,42,53
108822,FFF,2014B,7427,158,204
108834,CCC,2014B,290,27,30
108859,BBB,2014J,1996,127,111
108872,AAA,2014J,1377,83,64
108949,FFF,2014B,452,34,43
108949,FFF,2014J,105,18,32
109155,AAA,2014J,3019,135,83
109372,BBB,2013J,1450,123,44
109441,BBB,2014J,678,45,74
109577,CCC,2014J,2018,59,45
109577,FFF,2014J,1776,61,90
109772,GGG,2014B,199,13,19
109782,BBB,2013J,154,22,19
109938,BBB,2013B,396,49,40
110085,FFF,2013B,1679,50,110
110116,FFF,2013B,4092,117,134
110175,AAA,2013J,998,70,68
110200,DDD,2013B,157,21,36
110461,EEE,2013J,12,1,4
110524,DDD,2014J,876,84,124
110529,FFF,2014B,3039,107,98
110640,DDD,2014J,1805,124,116
110789,EEE,2014J,1084,36,56
110820,FFF,2014J,1114,66,58
110881,BBB,2013B,754,71,40
110881,FFF,2013J,4278,132,155
110911,BBB,2014J,520,33,47
111113,DDD,2013B,367,43,39
111360,DDD,2013B,386,36,51
111360,DDD,2013J,311,41,61
111512,AAA,2014J,439,21,34
111548,DDD,2013J,542,41,54
111678,FFF,2013J,4,1,3
111717,AAA,2013J,2343,136,89
111775,FFF,2013B,3211,115,157
111926,DDD,2013J,967,75,86
111926,DDD,2014J,586,68,38
111942,BBB,2013J,1853,107,110
111959,DDD,2014B,431,40,66
112245,DDD,2013B,2262,130,221
112441,GGG,2014B,969,36,53
112454,CCC,2014J,1131,83,93
113295,AAA,2013J,3553,195,92
113565,FFF,2013J,2515,40,127
113698,EEE,2013J,271,26,30
113702,FFF,2014J,1936,63,98
113824,EEE,2013J,590,34,33
114017,AAA,2013J,757,50,39
114367,CCC,2014J,2234,131,84
114402,BBB,2014J,1123,70,64
114500,FFF,2013J,3570,140,134
114558,DDD,2013J,1620,137,163
114999,AAA,2013J,1358,120,86
115373,FFF,2013B,3386,136,123
115452,BBB,2014B,590,69,35
116174,CCC,2014B,76,7,14
116174,FFF,2014B,181,9,29
116290,FFF,2013J,139,9,25
116319,GGG,2014B,276,6,25
116499,FFF,2013J,166,14,42
116518,CCC,2014B,942,58,45
116529,FFF,2013J,1319,52,76
116529,FFF,2014J,89,14,16
116541,AAA,2013J,1886,108,73
116603,BBB,2013B,1179,86,57
116606,BBB,2014J,511,41,45
116621,FFF,2014B,5554,202,158
116631,FFF,2013J,551,33,49
116692,AAA,2013J,1108,98,64
116763,DDD,2014B,115,8,21
116808,FFF,2013J,12175,233,324
117071,BBB,2013B,74,5,8
117197,EEE,2013J,1009,46,44
117232,CCC,2014B,1099,108,69
117232,FFF,2013J,1593,88,97
117281,DDD,2014B,1427,91,130
117435,DDD,2013B,1355,60,152
117510,FFF,2014B,4070,150,224
117544,BBB,2014J,2580,136,101
117545,BBB,2014J,442,14,39
117550,FFF,2014B,252,21,26
117699,BBB,2014B,473,57,50
117818,AAA,2014J,1695,98,77
117862,DDD,2013B,56,6,16
117939,DDD,2013B,666,37,65
118050,FFF,2013J,1206,70,64
118098,CCC,2014B,537,18,25
118176,FFF,2013J,147,7,29
118213,BBB,2014J,21,4,7
118474,GGG,2014B,474,38,35
118479,DDD,2014B,3463,147,192
118532,FFF,2013B,4531,143,161
118578,DDD,2014J,792,77,85
118668,FFF,2013B,3249,86,155
118877,BBB,2014J,4,2,2
118887,DDD,2013J,10,3,4
118983,AAA,2013J,284,27,35
119310,CCC,2014J,119,9,14
119310,FFF,2014J,2490,74,118
119353,CCC,2014B,58,7,9
119353,FFF,2013B,3708,137,162
119444,BBB,2014J,83,11,12
119444,GGG,2014B,531,25,32
119471,BBB,2014B,592,75,74
119729,CCC,2014B,573,27,36
119865,FFF,2014J,2527,119,136
119898,BBB,2013J,167,16,23
119902,AAA,2014J,2590,81,79
120236,CCC,2014J,1281,77,60
120611,GGG,2014B,125,11,7
120994,BBB,2013B,740,34,57
120999,DDD,2013J,507,64,63
121000,DDD,2013B,342,25,54
121056,GGG,2013J,17,3,4
121163,EEE,2014J,449,32,32
121182,GGG,2014J,92,8,18
121349,AAA,2014J,2259,98,72
121390,DDD,2013B,371,26,58
122337,GGG,2014B,634,38,53
122392,CCC,2014B,809,66,74
122459,GGG,2013J,270,19,29
122636,GGG,2013J,110,18,7
122739,DDD,2013J,526,48,71
122846,GGG,2013J,1051,60,48
122928,GGG,2013J,184,8,20
123044,AAA,2013J,2041,127,75
123053,DDD,2014J,342,52,39
123087,BBB,2014J,470,36,47
123183,DDD,2014J,2893,199,180
123270,BBB,2014B,145,15,15
123462,BBB,2014B,1001,60,91
123497,DDD,2013J,497,35,59
123598,CCC,2014B,546,36,55
123598,CCC,2014J,740,64,44
123598,DDD,2013J,806,77,131
123716,BBB,2013J,1068,148,41
123860,BBB,2013B,1292,94,109
123957,DDD,2013J,609,57,63
123957,DDD,2014J,64,6,21
124006,DDD,2013J,734,41,103
124018,FFF,2014B,82,6,17
124064,AAA,2014J,2042,162,61
124124,CCC,2014B,21,5,7
124134,DDD,2014B,1146,103,113
124193,CCC,2014B,945,83,57
124304,EEE,2014J,1995,96,55
124379,FFF,2013J,167,9,29
124387,DDD,2013J,56,4,16
124711,CCC,2014J,196,17,27
124711,EEE,2014J,69,13,14
124728,DDD,2013B,186,4,61
124728,DDD,2014J,1802,84,113
124909,BBB,2013J,1520,163,48
